Timestamp,Frame,Class,CenterX,CenterY,X1,Y1,X2,Y2,Zoom
1746286164.4581847,1,person,465,365,353,251,578,480,1
1746286164.8533957,5,person,355,335,82,191,629,480,-1
1746286164.949541,6,person,355,335,82,191,628,480,-1
1746286165.0279937,7,person,355,336,82,192,628,480,-1
1746286165.1038492,8,person,349,336,79,193,620,480,-1
1746286165.1783996,9,person,344,333,74,186,614,480,-1
1746286165.2543688,10,person,344,331,77,182,611,480,-1
1746286166.323891,26,person,467,367,351,254,583,480,1
1746286166.4022138,27,person,465,367,350,254,581,480,1
1746286166.4800355,28,person,465,367,351,254,580,480,1
1746286166.6185791,30,person,468,367,353,254,584,480,1
1746286166.8407307,33,person,470,367,358,254,583,480,1
1746286167.1233761,37,person,470,366,358,253,583,480,1
1746286167.2025855,38,person,469,366,357,253,582,480,1
1746286167.4097993,41,person,354,340,73,201,635,480,-1
1746286167.5017142,42,person,353,342,68,204,638,480,-1
1746286167.5726726,43,person,467,367,355,254,580,480,1
1746286167.6419976,44,person,466,367,353,254,580,480,1
1746286167.7122097,45,person,467,367,354,255,581,480,1
1746286167.852035,47,person,467,367,353,254,581,480,1
1746286168.0015066,49,person,465,366,350,252,581,480,1
1746286168.079833,50,person,468,366,356,252,580,480,1
1746286168.1504884,51,person,464,365,351,251,578,480,1
1746286168.7510526,60,person,465,365,348,250,583,480,1
1746286168.8298366,61,person,465,364,350,249,580,480,1
1746286168.9008038,62,person,463,363,346,247,581,480,1
1746286168.9707482,63,person,461,362,344,245,579,480,1
1746286169.0391474,64,person,463,363,346,246,580,480,1
1746286169.1118376,65,person,461,362,344,244,579,480,1
1746286169.181699,66,person,459,361,338,243,580,480,1
1746286169.251069,67,person,460,363,340,247,580,480,1
1746286169.320472,68,person,459,364,339,248,579,480,1
1746286169.3891768,69,person,461,365,345,251,578,480,1
1746286169.458599,70,person,463,366,347,252,579,480,1
1746286169.528969,71,person,462,364,345,249,580,480,1
1746286169.5989301,72,person,463,365,348,250,579,480,1
1746286169.7363427,74,person,464,364,350,248,578,480,1
1746286169.815159,75,person,465,364,352,248,578,480,1
1746286169.8881657,76,person,468,364,355,249,581,480,1
1746286169.9584746,77,person,466,364,352,248,581,480,1
1746286170.0288708,78,person,465,364,351,248,580,480,1
1746286170.1682363,80,person,464,364,351,249,577,480,1
1746286170.7144542,88,person,465,367,350,254,580,480,1
1746286170.7935038,89,person,465,366,348,253,582,480,1
1746286170.8647058,90,person,469,367,358,255,580,480,1
1746286170.9440439,91,person,467,367,355,255,579,480,1
1746286171.0135088,92,person,466,368,349,256,583,480,1
1746286171.0860424,93,person,467,368,351,257,584,480,1
1746286171.1571536,94,person,471,369,358,259,584,480,1
1746286171.2274022,95,person,470,369,357,259,584,480,1
1746286171.2964475,96,person,470,369,356,259,585,480,1
1746286171.3650284,97,person,473,369,359,259,588,480,1
1746286171.8323615,104,person,469,368,353,256,586,480,1
1746286171.909558,105,person,470,368,356,256,585,480,1
1746286171.9848883,106,person,470,368,355,256,586,480,1
1746286172.0551002,107,person,470,368,355,256,586,480,1
1746286172.1293914,108,person,469,368,353,256,585,480,1
